sm_plant,charge_id,steel_grade,steel_usage,delta_ferrite,ingre_cr,ingre_ni,ingre_s,cast_date,cc_gubun,tundish_temp,mlac_ratio,slab_no,slab_gubun,slab_grind
1공장,CH80081,C12,RZ1,69,18.24,8.63,0.02,2025-05-09,2연주,1485,95.1,611,C,MISS
1공장,CH80092,C13,RZ1,70,18.45,8.34,0.03,2025-07-10,2연주,1496,100,511,M,MISS
1공장,CH80126,C13,RJ1,65,18.12,8.17,0.04,2025-07-12,1연주,1483,96.7,411,C,MISS
1공장,CH80126,C13,RZ1,65,18.12,8.17,0.04,2025-07-12,2연주,1483,96.7,311,C,MISS
1공장,CH80141,C13,RJ1,70,18.23,8.27,0.03,2025-07-12,2연주,1478,91.9,611,C,MISS
1공장,CH80154,C13,RZ1,68,18.4,8.22,0.08,2025-07-13,4연주,1478,95.9,411,C,MISS
1공장,CH80154,C13,RZ1,68,18.4,8.22,0.08,2025-07-13,4연주,1478,95.9,511,C,MISS
1공장,CH80155,C13,RJ1,78,18.56,8.29,0.05,2025-07-13,2연주,1483,91.9,411,C,MISS
1공장,CH80155,C13,RJ1,78,18.56,8.29,0.05,2025-07-13,2연주,1483,91.9,511,C,MISS
1공장,CH80155,C13,RJ1,78,18.56,8.29,0.05,2025-07-13,2연주,1483,91.9,611,C,MISS
1공장,CH80155,C13,RZ1,78,18.56,8.29,0.05,2025-07-13,2연주,1483,91.9,311,C,MISS
1공장,CH80155,C13,RZ1,78,18.56,8.29,0.05,2025-07-13,4연주,1483,91.9,111,M,MISS
1공장,CH80155,C13,RZ1,78,18.56,8.29,0.05,2025-07-13,4연주,1483,91.9,211,C,MISS
1공장,CH80156,C13,RJ1,81,18.57,8.24,0.02,2025-07-13,2연주,1488,98.7,111,M,MISS
1공장,CH80156,C13,RJ1,78,18.57,8.24,0.02,2025-07-13,2연주,1488,98.7,111,M,
1공장,CH80156,C13,RJ1,78,18.57,8.24,0.02,2025-07-13,2연주,1488,,211,M,
1공장,CH80156,C13,RJ1,75,18.57,8.24,0.02,2025-07-13,2연주,0,98.7,311,M,
1공장,CH80157,C13,RJ1,64,18.2,8.25,0.02,2025-07-13,2연주,1487,96.5,311,C,MISS
1공장,CH80157,C13,RZ1,64,18.2,8.25,0.02,2025-07-13,2연주,1487,96.5,411,C,MISS
1공장,CH80158,C13,RZ1,74,18.31,8.21,0.02,2025-07-13,2연주,1482,99,311,C,MISS
1공장,CH80158,C13,RZ1,74,18.31,8.21,0.02,2025-07-13,2연주,1482,99,411,C,MISS
1공장,CH80158,C13,RZ1,74,18.31,8.21,0.02,2025-07-13,2연주,1482,99,511,C,MISS
