judge,hr_coil_id,ap_plant,ap_prod_id,ap_date,ap_shift,ap_thick,ap_width,ap_line_speed
불량,A677644,1공장,A27085,2025-09-30,B,3.4,1258,37.6
불량,A679804,1공장,C92395,2025-09-02,D,3.81,1242,32.4
불량,A680124,1공장,A27274,2025-09-01,A,3.92,1257,35.9
불량,A680184,1공장,C92400,2025-09-02,D,2.92,1222,42.57
불량,A680194,1공장,C92401,2025-09-02,D,2.93,1222,42.57
불량,A680284,1공장,A27358,2025-09-02,C,3.38,1037,42.5
불량,A680304,1공장,A27359,2025-09-02,C,3.35,1038,43
불량,A680404,2공장,Y87316,2025-09-01,A,3.11,1040,45.2
불량,A680414,2공장,Y87317,2025-09-01,A,3.1,1039,46
불량,A680424,2공장,Y87318,2025-09-01,A,3.1,1039,46
불량,A680674,2공장,Y87298,2025-09-01,D,2.94,1040,50
불량,A680684,2공장,Y87299,2025-09-01,D,2.96,1040,50
불량,A681174,1공장,A27315,2025-09-01,D,3.16,1259,43.3
불량,A681564,2공장,Y87490,2025-09-03,B,4.95,1257,27.1
불량,A681704,2공장,Y87533,2025-09-04,B,3.02,1038,48.5
불량,A681804,1공장,A27378,2025-09-02,A,4.85,1037,32.4
불량,A681884,1공장,A27302,2025-09-03,D,3.4,1039,41.1
불량,A681904,1공장,A27303,2025-09-03,D,3.38,1039,42.3
불량,A682064,2공장,Y87414,2025-09-02,D,3.17,1037,47.9
불량,A682074,2공장,Y87415,2025-09-02,D,3.17,1036,48
불량,A682084,2공장,Y87416,2025-09-02,D,3.15,1036,48
불량,A682094,2공장,Y87417,2025-09-02,D,3.15,1037,48
불량,A683054,2공장,Y87613,2025-09-08,D,2.93,1037,50
불량,A683074,1공장,A27483,2025-09-03,D,4.76,1036,32.4
불량,A684394,2공장,Y87614,2025-09-08,D,2.9,1038,50
불량,A685464,2공장,Y87404,2025-09-02,A,3.11,1039,43.3
불량,A685624,1공장,A27398,2025-09-03,C,2.9,1260,43.1
